| № | Тема                                                                | Основа      |
|---|---------------------------------------------------------------------|-------------|
| 1 | Введение в FastAPI и первый REST API                                | уровни 1+2  |
| 2 | REST, полный CRUD и асинхронность                                   | уровень 2   |
| 3 | Pydantic v2: схемы, вложенные модели, валидаторы                    | уровень 3   |
| 4 | Структура проекта, `APIRouter`, `Depends`, Settings, lifespan       | новый уровень |
| 5 | Аутентификация: пароли, OAuth2, JWT, access/refresh tokens, роли    | уровень 4   |
| 6 | Тестирование: pytest, TestClient, async-тесты, dependency overrides | уровень 5   |
| 7 | Безопасность API: CORS, секреты, HTTPS, типичные уязвимости         | уровень 21  |
| 8 | SQLAlchemy 2.0: async ORM и PostgreSQL                              | уровень 6   |
| 9 | Alembic и миграции                                                  | уровень 7   |
| 10 | Связи, транзакции и оптимизация SQLAlchemy                         | уровень 11  |
| 11 | MongoDB и выбор SQL/NoSQL                                          | уровни 8+10 |
| 12 | Redis: кэширование и инвалидация                                   | уровень 9   |
| 13 | Интеграция с внешними API через HTTPX                              | уровень 16  |
| 14 | RabbitMQ и очереди сообщений                                       | уровень 12  |
| 15 | Celery: фоновые и периодические задачи                             | уровень 13  |
| 16 | Параллельная обработка, маршрутизация и масштабирование            | уровень 14  |
| 17 | Надёжность: retry, backoff, идемпотентность, DLQ                   | уровень 15  |
| 18 | Обработка ошибок, логирование и наблюдаемость                      | уровень 20  |
| 19 | Интеграция с Google API                                            | уровень 17  |
| 20 | Telegram-боты и FastAPI webhooks                                   | уровень 18  |
| 21 | Telethon и итоговая система уведомлений                            | уровень 19  |
